Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.1,2000,DRO-IPW,13,0.5689626850444165,0.4053099105768362,0.026782230590936706
0.1,2000,LDR2PE-CP,14,0.3372695350314023,0.4053099105768362,0.00462949270436368
0.1,2000,DRO-IPW,14,0.42268786010934956,0.4053099105768362,0.0003019931299545817
0.1,2000,LDR2PE-CP,15,0.36032774474818935,0.4053099105768362,0.002023395242635883
0.1,2000,DRO-IPW,15,0.42265271562474516,0.4053099105768362,0.0003007728869297769
0.1,2000,LDR2PE-CP,16,0.4282473625578564,0.4053099105768362,0.0005261267033816079
0.1,2000,DRO-IPW,16,0.4708752888460057,0.4053099105768362,0.0042988188275792875
0.1,2000,LDR2PE-CP,17,0.4614378178386096,0.4053099105768362,0.0031503419735862364
0.1,2000,DRO-IPW,17,0.49750151672704057,0.4053099105768362,0.008499292244554403
0.1,2000,LDR2PE-CP,18,0.4337973875277982,0.4053099105768362,0.0008115363430315905
0.1,2000,DRO-IPW,18,0.4234816547474676,0.4053099105768362,0.0003302122862028758
0.1,2000,LDR2PE-CP,19,0.44177756408948576,0.4053099105768362,0.0013298897527186631
0.1,2000,DRO-IPW,19,0.48930190028094733,0.4053099105768362,0.007054654334455513
0.1,3000,LDR2PE-CP,0,0.3677468003642609,0.4053099105768362,0.001410987248842079
0.1,3000,DRO-IPW,0,0.43100343290751597,0.4053099105768362,0.0006601570897571408
0.1,3000,LDR2PE-CP,1,0.388277095514186,0.4053099105768362,0.00029011678895844343
0.1,3000,DRO-IPW,1,0.4485813238958919,0.4053099105768362,0.0018724152106285516
0.1,3000,LDR2PE-CP,2,0.370488563090967,0.4053099105768362,0.001212526240731648
0.1,3000,DRO-IPW,2,0.4505863620507765,0.4053099105768362,0.002049957058072073
0.1,3000,LDR2PE-CP,3,0.38555335996946094,0.4053099105768362,0.0003903212919017792
0.1,3000,DRO-IPW,3,0.4591119838725001,0.4053099105768362,0.0028946630909119893
0.1,3000,LDR2PE-CP,4,0.3984026797316508,0.4053099105768362,4.7709837948680726e-05
0.1,3000,DRO-IPW,4,0.474660067844763,0.4053099105768362,0.004809444313086182
0.1,3000,LDR2PE-CP,5,0.453382888361756,0.4053099105768362,0.002311011193109394
0.1,3000,DRO-IPW,5,0.5062070164714747,0.4053099105768362,0.010180225977913899
0.1,3000,LDR2PE-CP,6,0.37451393388493737,0.4053099105768362,0.0009483921804079753
0.1,3000,DRO-IPW,6,0.44401055047059756,0.4053099105768362,0.0014977395281865948
0.1,3000,LDR2PE-CP,7,0.39138303453326695,0.4053099105768362,0.0001939578763329427
